minute_offset,pv_power,house_load,tariff_price,forecast_pv_power
0,0.0,300.0,0.2,0.0
30,0.0,300.0,0.2,0.0
60,0.0,300.0,0.05,0.0
90,0.0,300.0,0.05,0.0
120,0.0,300.0,0.05,0.0
150,0.0,300.0,0.05,0.0
180,0.0,300.0,0.05,0.0
210,0.0,300.0,0.05,0.0
240,0.0,300.0,0.05,0.0
270,0.0,300.0,0.05,0.0
300,0.0,300.0,0.2,0.0
330,0.0,300.0,0.2,0.0
360,0.0,300.0,0.2,0.0
390,1044.21,300.0,0.2,0.0
420,2070.55,300.0,0.2,0.0
450,3061.47,1339.23,0.2,0.0
480,4000.0,1339.23,0.2,4000.0
510,4870.09,300.0,0.2,4000.0
540,5656.85,300.0,0.2,4000.0
570,6346.83,300.0,0.2,4000.0
600,6928.2,300.0,0.2,4000.0
630,7391.04,300.0,0.2,4000.0
660,7727.41,300.0,0.2,4000.0
690,7931.56,300.0,0.2,4000.0
720,8000.0,300.0,0.2,4000.0
750,800.0,2000.0,0.2,4000.0
780,800.0,300.0,0.2,4000.0
810,7391.04,300.0,0.2,4000.0
840,6928.2,300.0,0.2,4000.0
870,6346.83,300.0,0.2,4000.0
900,5656.85,300.0,0.2,4000.0
930,4870.09,300.0,0.2,4000.0
960,4000.0,300.0,0.2,4000.0
990,3061.47,300.0,0.2,4000.0
1020,2070.55,300.0,0.2,0.0
1050,1044.21,300.0,0.2,0.0
1080,0.0,300.0,0.3,0.0
1110,0.0,300.0,0.3,0.0
1140,0.0,300.0,0.3,0.0
1170,0.0,1593.13,0.3,0.0
1200,0.0,2392.32,0.3,0.0
1230,0.0,2392.32,0.3,0.0
1260,0.0,1593.13,0.3,0.0
1290,0.0,300.0,0.3,0.0
1320,0.0,300.0,0.3,0.0
1350,0.0,300.0,0.3,0.0
1380,0.0,300.0,0.2,0.0
1410,0.0,300.0,0.2,0.0
