minute_offset,pv_power,house_load,tariff_price,prod_price,forecast_pv_power
0,0.0,192.30769230769232,0.24218588,0.14218588,0.0
15,0.0,207.3684210526316,0.24003,0.14003,0.0
30,0.0,211.25,0.23935412,0.13935412,0.0
45,0.0,120.0,0.23843,0.13843,0.0
60,0.0,152.0,0.23843,0.13843,0.0
75,0.0,164.73684210526315,0.23514298,0.13514298,0.0
90,0.0,240.28571428571428,0.23299215,0.13299215,0.0
105,0.0,189.0909090909091,0.23062152,0.13062152,0.0
120,0.0,210.8333333333333,0.23323,0.13323,0.0
135,0.0,179.23076923076923,0.23367032,0.13367032,0.0
150,0.0,185.0,0.22834,0.12834,0.0
165,0.0,137.85714285714286,0.22515968,0.12515968,0.0
180,0.0,176.92307692307693,0.233,0.133,0.0
195,0.0,166.0,0.22206,0.12206,0.0
210,0.0,153.88888888888889,0.2164,0.1164,0.0
225,0.0,229.6428571428572,0.22001,0.12001,0.0
240,0.0,159.04761904761904,0.228,0.128,0.0
255,0.0,258.42105263157896,0.228,0.128,0.0
270,0.0,188.3333333333333,0.2298347,0.1298347,0.0
285,0.0,131.66666666666666,0.2345653,0.1345653,0.0
300,0.0,132.0,0.22088,0.12088,0.0
315,0.0,128.46153846153845,0.23843,0.13843,0.0
330,0.0,150.0,0.228,0.128,0.0
345,284.4,160.0,0.218,0.118,138.25
360,371.56,170.41666666666666,0.2164,0.1164,140.0
375,719.7142857142857,132.85714285714286,0.2164,0.1164,199.25
390,1010.0,134.8,0.2164,0.1164,258.5
405,710.68,291.40909090909093,0.21045,0.11045,317.75
420,1108.4074074074074,225.9642857142857,0.2164,0.1164,377.0
435,1054.4642857142858,106.1923076923077,0.21115,0.11115,421.75
450,897.7692307692307,154.92,0.20460122,0.10460122,466.5
465,487.48,138.8,0.20460878,0.10460878,511.25
480,843.0689655172414,205.6,0.2164,0.1164,556.0
495,1702.551724137931,139.58333333333334,0.20922,0.10922,603.75
510,2342.793103448276,137.5735294117647,0.2092,0.1092,651.5
525,2868.206896551724,159.7450980392157,0.19827,0.09827,699.25
540,3672.896551724138,290.1923076923077,0.21022,0.11022,747.0
555,3283.344827586207,234.72549019607845,0.2085199999999999,0.1085199999999999,780.5
570,3566.689655172414,243.68,0.2066,0.1066,814.0
585,2011.8148148148148,228.1818181818182,0.2011399999999999,0.10114,847.5
600,2821.2413793103447,261.8723404255319,0.2083499999999999,0.1083499999999999,881.0
615,1504.2307692307693,238.60416666666663,0.2054399999999999,0.1054399999999999,881.25
630,294.76,215.1428571428572,0.2164,0.1164,881.5
645,66.38095238095238,142.22222222222223,0.2074899999999999,0.1074899999999999,881.75
660,394.2307692307692,148.33333333333334,0.2164,0.1164,882.0
675,729.8518518518518,160.0,0.2164,0.1164,891.5
690,495.16,136.92307692307693,0.2164,0.1164,901.0
705,752.52,143.75,0.21312,0.11312,910.5
720,265.3076923076923,209.2142857142857,0.21591,0.11591,920.0
735,265.3076923076923,209.2142857142857,0.2164,0.1164,922.75
750,55.3,221.25,0.2074899999999999,0.10607089,925.5
765,128.68421052631578,103.33333333333331,0.20536,0.10424262,928.25
780,597.75,255.0,0.20528,0.10333412,931.0
795,1243.88,282.0416666666667,0.1965,0.09483658,935.0
810,1216.2173913043478,361.1785714285714,0.17743,0.0763758,939.0
825,799.6923076923077,298.7857142857143,0.16781,0.06706574,943.0
840,876.32,296.2857142857143,0.1683199999999999,0.0675601,947.0
855,441.0,268.0,0.159,0.05853918,947.25
870,304.125,300.0,0.16455,0.0640763199999999,947.5
885,388.4,274.75,0.16073,0.06051381,947.75
900,387.8,199.0909090909091,0.17167,0.07143234,948.0
915,194.0,244.1578947368421,0.175,0.07473608,907.25
930,99.29166666666669,308.75,0.17,0.06813648,866.5
945,158.03571428571428,325.45454545454544,0.1777399999999999,0.07562578,825.75
960,69.06666666666666,293.6363636363636,0.18562,0.08276541,785.0
975,30.2,265.1875,0.16603,0.0640466,742.25
990,30.2,1125.625,0.19034,0.08785147,699.5
1005,30.2,2795.0,0.19401,0.09209106,656.75
1020,30.2,3461.55,0.15722983,0.05722983,614.0
1035,30.2,1457.7777777777778,0.18794017,0.08794017,570.75
1050,30.2,3702.318181818182,0.2164,0.1164,527.5
1065,30.2,2584.833333333333,0.23843,0.13843,484.25
1080,30.2,457.2413793103448,0.2027,0.1027,441.0
1095,30.2,465.12,0.2164,0.1164,391.25
1110,6.0,683.5862068965517,0.22769,0.12769,341.5
1125,5.0,620.1538461538462,0.23843,0.13843,291.75
1140,5.0,578.3214285714286,0.22805866,0.12805866,242.0
1155,5.0,650.5652173913044,0.23843,0.13843,199.5
1170,5.0,702.0454545454545,0.24003,0.14003,157.0
1185,5.0,447.05882352941177,0.24368,0.14368,114.5
1200,5.0,408.46153846153845,0.24003,0.14003,72.0
1215,5.0,396.6666666666667,0.24067,0.14067,76.475
1230,0.0,397.3333333333333,0.24201765,0.14201765,0.0
1245,0.0,438.75,0.24143,0.14143,0.0
1260,0.0,335.0,0.2591799999999999,0.15918,0.0
1275,0.0,311.3333333333333,0.24943844,0.14943844,0.0
1290,0.0,268.3333333333333,0.24242,0.14242,0.0
1305,0.0,315.7142857142857,0.23843,0.13843,0.0
1320,0.0,284.54545454545456,0.24449535,0.14449535,0.0
1335,0.0,265.0,0.24003,0.14003,0.0
1350,0.0,256.0,0.2390951399999999,0.1390951399999999,0.0
1365,0.0,205.7142857142857,0.23637951,0.13637951,0.0
1380,0.0,200.0,0.23843,0.13843,0.0
1395,0.0,175.0,0.23126316,0.13126316,0.0
1410,0.0,179.28571428571428,0.22734684,0.12734684,0.0
1425,0.0,164.54545454545453,0.2164,0.1164,0.0
1440,0.0,229.5,0.2346,0.1346,0.0
1455,0.0,161.8181818181818,0.2346,0.1346,0.0
1470,0.0,157.85714285714286,0.22518,0.12518,0.0
1485,0.0,155.83333333333334,0.22226,0.12226,0.0
1500,0.0,197.27272727272728,0.22480404,0.12480404,0.0
1515,0.0,153.75,0.22130795,0.12130795,0.0
1530,0.0,157.0,0.21796535,0.11796535,0.0
1545,0.0,139.28571428571428,0.21724,0.11724,0.0
1560,0.0,163.5,0.21724,0.11724,0.0
1575,0.0,195.3333333333333,0.21724,0.11724,0.0
1590,0.0,155.0,0.21724,0.11724,0.0
1605,0.0,144.7058823529412,0.21724,0.11724,0.0
1620,0.0,163.57142857142858,0.21724,0.11724,0.0
1635,0.0,198.1818181818182,0.21724,0.11724,0.0
1650,0.0,148.66666666666666,0.21724,0.11724,0.0
1665,0.0,142.85714285714286,0.21724,0.11724,0.0
1680,0.0,132.22222222222223,0.2149179,0.1149179,0.0
1695,0.0,155.88235294117646,0.21115,0.11115,0.0
1710,0.0,168.8,0.21724,0.11724,0.0
1725,0.0,156.1904761904762,0.2170120999999999,0.1170121,0.0
1740,0.0,163.33333333333334,0.21724,0.11724,0.0
1755,0.0,173.8148148148148,0.21724,0.11724,0.0
1770,0.0,443.82142857142856,0.21724,0.11724,0.0
1785,1411.9642857142858,219.4814814814815,0.2346,0.1346,246.525
1800,1647.2068965517242,200.8571428571429,0.22703541,0.12703541,251.0
1815,2131.5714285714284,176.2962962962963,0.23836,0.13836,388.25
1830,2517.448275862069,201.5,0.24466962,0.14466962,525.5
1845,2577.962962962963,180.03571428571428,0.24993497,0.14993497,662.75
1860,2675.758620689656,191.5555555555556,0.24493,0.14493,800.0
1875,2150.8928571428573,179.08,0.24659,0.14659,964.0
1890,1401.0833333333333,139.33962264150944,0.25775276,0.15775276,1128.0
1905,1984.0,234.69230769230768,0.2507272399999999,0.1507272399999999,1292.0
1920,2524.8275862068967,173.68421052631578,0.2594199999999999,0.15165029,1456.0
1935,2211.4137931034484,193.64864864864865,0.25499,0.1477060899999999,1596.75
1950,2276.8888888888887,169.24324324324326,0.24897035,0.1456457599999999,1737.5
1965,2949.9666666666667,268.675,0.24356,0.1384457899999999,1878.25
1980,4061.259259259259,157.4516129032258,0.25610476,0.13404165,2019.0
1995,3529.1071428571427,296.6551724137931,0.24659,0.12080285,2126.5
2010,4046.137931034483,229.7142857142857,0.23867827,0.105691,2234.0
2025,4380.178571428572,227.8947368421053,0.22047458,0.08475419,2341.5
2040,3145.172413793104,221.5625,0.24185,0.09635925,2449.0
2055,1631.68,184.6451612903226,0.23660593,0.10091939,2461.0
2070,1599.4137931034484,182.6190476190476,0.22421411,0.08377143,2473.0
2085,1481.071428571429,173.78947368421052,0.21772996,0.0793551,2485.0
2100,1351.0,195.69565217391303,0.22751362,0.0861008499999999,2497.0
2115,1884.52,114.0,0.21975719,0.08096594,2390.25
2130,4360.428571428572,176.24242424242425,0.21724,0.07900445,2283.5
2145,4936.551724137931,315.675,0.21724,0.08153412,2176.75
2160,4508.142857142857,349.8125,0.21724,0.07779827,2070.0
2175,4077.137931034483,331.84,0.21724,0.07759286,1943.0
2190,4145.551724137931,313.45454545454544,0.21724,0.07747303,1816.0
2205,3887.0689655172414,287.4791666666667,0.21171311,0.07389458,1689.0
2220,3938.206896551724,327.1224489795918,0.21253501,0.07491689,1562.0
2235,3966.0,305.84444444444443,0.21207753,0.07503471,1447.25
2250,3841.8275862068967,293.74468085106383,0.21478,0.07699454,1332.5
2265,2730.758620689656,227.7142857142857,0.21724,0.07881288,1217.75
2280,3454.689655172414,325.53333333333336,0.2134,0.07633686,1103.0
2295,3420.689655172414,311.02222222222224,0.21724,0.0789757,1122.5
2310,1798.0344827586207,255.5581395348837,0.21724,0.07905594,1142.0
2325,1950.9655172413795,154.0,0.21724,0.07928196,1161.5
2340,2711.535714285714,253.6888888888889,0.21552,0.07806807,1181.0
2355,2416.214285714286,269.27450980392155,0.21724,0.07923792,1280.25
2370,2080.4827586206898,213.6170212765957,0.21724,0.07924929,1379.5
2385,1702.9310344827586,201.11111111111111,0.21724,0.0792811,1478.75
2400,1268.7241379310344,160.0,0.21724,0.07916233,1578.0
2415,1153.0,207.6153846153846,0.21724,0.07906519,1485.75
2430,767.8928571428571,212.97297297297297,0.22209673,0.08207905,1393.5
2445,115.8148148148148,138.33333333333334,0.24103605,0.09437088,1301.25
2460,71.23809523809524,140.0,0.21896866,0.07908633,1209.0
2475,25.181818181818183,208.125,0.2270755,0.0843425,1065.25
2490,25.181818181818183,636.0869565217391,0.24356,0.10050861,921.5
2505,25.181818181818183,521.1875,0.24659,0.10820444,777.75
2520,25.181818181818183,197.3333333333333,0.21724,0.11724,634.0
2535,25.181818181818183,228.46153846153845,0.23291046,0.13291046,585.5
2550,25.181818181818183,902.0833333333334,0.23836,0.13836,537.0
2565,3.5,258.72222222222223,0.24179,0.14179,488.5
2580,0.0,1346.5,0.2391,0.1391,440.0
2595,0.0,661.7647058823529,0.2411,0.1411,377.75
2610,0.0,2414.1176470588234,0.24418,0.14418,315.5
2625,0.0,2326.111111111112,0.25421,0.15421,253.25
2640,0.0,1606.875,0.24683482,0.14683482,191.0
2655,0.0,1321.0,0.25064,0.15064,191.0
2670,0.0,2408.913043478261,0.26,0.16,0.0
2685,0.0,1073.5263157894738,0.2594199999999999,0.1594199999999999,0.0
2700,0.0,450.9090909090909,0.24356,0.14356,0.0
2715,0.0,467.27272727272725,0.2423,0.1423,0.0
2730,0.0,386.8235294117647,0.23987,0.13987,0.0
2745,0.0,376.6666666666667,0.23836,0.13836,0.0
2760,0.0,376.6666666666667,0.23836,0.13836,0.0
2775,0.0,376.6666666666667,0.2346,0.1346,0.0
2790,0.0,376.6666666666667,0.22186361,0.12186361,0.0
2805,0.0,376.6666666666667,0.22268,0.12268,0.0
2820,0.0,376.6666666666667,0.23836,0.13836,0.0
2835,0.0,376.6666666666667,0.23341192,0.13341192,0.0
2850,0.0,376.6666666666667,0.21724,0.11724,0.0
2865,0.0,376.6666666666667,0.21724,0.11724,0.0
