minute_offset,pv_power,house_load,tariff_price,prod_price,forecast_pv_power
0,1.9838500000000003,230.82,0.2422,0.1422,2.2748000000000004
15,2.32749,206.74672,0.24,0.14,2.4247300000000003
30,2.6635400000000002,205.21152000000004,0.2394,0.1394,2.60117
45,2.98881,194.71768,0.2384,0.1384,2.6285600000000002
60,3.3000000000000003,190.71096,0.2384,0.1384,2.9981600000000004
75,3.5971100000000003,161.94712,0.2351,0.1351,3.1871400000000003
90,3.88025,159.70888000000002,0.233,0.133,3.1511700000000005
105,4.13468,162.70000000000002,0.2306,0.1306,3.83625
120,4.34588,144.61136,0.2332,0.1332,4.00081
135,4.513850000000001,159.55360000000002,0.2337,0.1337,4.414960000000001
150,4.6387,151.98288,0.2283,0.1283,4.9346000000000005
165,4.7929200000000005,154.88968,0.2252,0.1252,4.69997
180,5.04933,143.3176,0.233,0.133,5.27043
195,5.40793,160.41336,0.2221,0.1221,5.621
210,5.86861,146.68112000000002,0.2164,0.1164,6.122050000000001
225,6.032400000000001,130.58856,0.22,0.12,6.5681
240,5.5,147.09688000000003,0.228,0.128,5.88082
255,4.271520000000001,1471.4605600000002,0.228,0.128,4.812830000000001
270,2.3470700000000004,149.46784,0.2298,0.1298,3.81964
285,2.40999,143.39352,0.2346,0.1346,4.2328
300,7.14384,137.98080000000002,0.2209,0.1209,7.141310000000001
315,16.54862,127.99200000000002,0.2384,0.1384,14.428040000000001
330,30.62444,132.25512,0.228,0.128,26.792810000000003
345,42.70904,143.9412,0.218,0.118,34.386660000000006
360,46.14049000000001,151.92000000000002,0.2164,0.1164,39.246790000000004
375,40.91868,137.8716,0.2164,0.1164,37.488110000000006
390,27.043720000000004,125.38176000000001,0.2164,0.1164,32.154430000000005
405,39.13855,120.0,0.2105,0.1104,49.28825
420,111.82622,120.0,0.2164,0.1164,98.59355000000001
435,245.10684,120.0,0.2112,0.1112,241.43636
450,438.9803,127.59528,0.2046,0.1046,402.40222000000006
465,633.0682600000001,128.86352,0.2046,0.1046,548.8563300000001
480,766.99238,143.34856,0.2164,0.1164,704.6910200000001
495,840.75244,133.13664000000003,0.2092,0.1092,783.0070600000001
510,854.3485500000002,134.40344000000002,0.2092,0.1092,772.783
525,876.2011500000001,1448.81984,0.1983,0.0983,824.55604
540,974.7305700000001,122.23016000000001,0.2102,0.1102,907.82879
555,1149.9369200000003,123.04536000000002,0.2085,0.1085,1012.5024800000001
570,1401.8199800000002,1465.66192,0.2066,0.1066,1137.36458
585,1722.98379,133.09624,0.2011,0.1011,1406.84863
600,2106.03206,129.96048000000002,0.2084,0.1083,1681.90891
615,2550.96479,138.68008,0.2054,0.1054,2135.11628
630,3057.78209,1481.8912,0.2164,0.1164,2424.8832300000004
645,3427.2682400000003,185.79792,0.2075,0.1075,2763.43969
660,3460.2076300000003,210.11632,0.2164,0.1164,3039.2815200000005
675,3156.6004800000005,174.46128000000002,0.2164,0.1164,2723.8684000000003
690,2516.44657,176.23040000000003,0.2164,0.1164,2577.0485400000002
705,1804.11066,170.67304000000001,0.2131,0.1131,2112.36454
